Avg.Daily.Particulates,Chlamydia.Rate,County,Dentist.Ratio,FIPS,MV.Mortality.Rate,Mentally.Unhealthy.Days,Perc.Children.in.Poverty,Perc.Diabetic.Screening,Perc.Excessive.Drinking,Perc.Fair.Poor.Health,Perc.Fast.Foods,Perc.High.School.Grad,Perc.Limited.Access,Perc.Low.Birth.Weight,Perc.Mammography,Perc.No.Soc.Emo.Support,Perc.Obese,Perc.Physically.Inactive,Perc.Single.Parent.HH,Perc.Smokers,Perc.Some.College,Perc.Unemployed,Perc.Uninsured,Perc.pop.in.viol,Physically.Unhealthy.Days,Pr.Care.Physician.Ratio,Prev.Hosp.Stay.Rate,Rec.Facility.Rate,State,Teen.Birth.Rate,Violent.Crime.Rate,YPLL.Rate,source,FIPS1,FIPS2
14.0,327.0,143,5020.0,1007,34.0,5.0,31.0,85.0,13.0,21.0,45.0,73.0,2.0,12.0,57.0,29.0,34.0,37.0,38.0,33.0,42.0,10.0,18.0,0.0,5.0,3813.0,87.0,4.0,0,48.0,246.0,,test,10,07
13.0,664.0,281,3844.0,1017,27.0,4.0,39.0,86.0,8.0,40.0,54.0,79.0,9.0,11.0,65.0,33.0,35.0,36.0,50.0,24.0,47.0,11.0,19.0,0.0,5.0,2438.0,89.0,6.0,0,64.0,583.0,,test,10,17
13.0,258.0,303,8762.0,1019,26.0,4.0,37.0,89.0,14.0,23.0,67.0,72.0,0.0,9.0,64.0,23.0,31.0,36.0,28.0,25.0,46.0,9.0,19.0,0.0,5.0,3249.0,116.0,0.0,0,52.0,241.0,,test,10,19
12.0,605.0,376,6633.0,1035,48.0,4.0,40.0,75.0,6.0,20.0,50.0,79.0,15.0,12.0,58.0,22.0,33.0,36.0,53.0,19.0,32.0,15.0,19.0,0.0,5.0,2644.0,179.0,0.0,0,53.0,377.0,,test,10,35
12.0,471.0,394,2951.0,1039,31.0,5.0,34.0,86.0,12.0,23.0,54.0,76.0,3.0,10.0,66.0,15.0,36.0,37.0,39.0,31.0,45.0,9.0,18.0,0.0,4.0,1575.0,153.0,5.0,0,70.0,293.0,,test,10,39
12.0,647.0,405,7005.0,1041,35.0,3.0,28.0,77.0,13.0,20.0,29.0,87.0,16.0,10.0,59.0,18.0,37.0,34.0,45.0,15.0,43.0,9.0,19.0,0.0,4.0,6939.0,88.0,0.0,0,55.0,257.0,,test,10,41
12.0,665.0,708,4376.0,1067,32.0,4.0,29.0,83.0,6.0,17.0,56.0,72.0,1.0,9.0,62.0,16.0,34.0,31.0,33.0,21.0,52.0,8.0,18.0,46.0,4.0,3461.0,55.0,0.0,0,47.0,333.0,,test,10,67
13.0,453.0,950,1922.0,1089,17.0,3.0,20.0,85.0,11.0,14.0,56.0,74.0,8.0,11.0,69.0,21.0,31.0,25.0,32.0,19.0,69.0,8.0,14.0,0.0,3.0,1191.0,56.0,17.0,0,35.0,478.0,,test,10,89
13.0,249.0,1298,7778.0,1111,35.0,5.0,31.0,84.0,13.0,21.0,53.0,81.0,2.0,10.0,55.0,15.0,32.0,35.0,44.0,28.0,44.0,11.0,18.0,7.0,5.0,2547.0,115.0,4.0,0,54.0,248.0,,test,11,11
12.0,438.0,1665,8878.0,1129,28.0,3.0,27.0,77.0,10.0,22.0,42.0,85.0,3.0,10.0,62.0,22.0,36.0,33.0,29.0,20.0,41.0,14.0,19.0,0.0,4.0,5870.0,78.0,0.0,0,45.0,354.0,,test,11,29
13.0,212.0,1721,6174.0,1133,39.0,6.0,30.0,83.0,12.0,18.0,33.0,87.0,1.0,10.0,55.0,28.0,36.0,34.0,35.0,21.0,42.0,13.0,19.0,0.0,4.0,3049.0,180.0,0.0,0,56.0,186.0,,test,11,33
0.0,823.0,537,1068.0,2090,12.0,3.0,11.0,77.0,21.0,11.0,42.0,67.0,10.0,6.0,59.0,17.0,28.0,23.0,30.0,21.0,67.0,7.0,20.0,2.0,4.0,1403.0,41.0,9.0,1,39.0,688.0,,test,20,90
0.0,2738.0,1127,3967.0,2188,15.0,2.0,28.0,68.0,22.0,19.0,100.0,49.0,32.0,6.0,57.0,40.0,30.0,32.0,42.0,48.0,37.0,15.0,29.0,73.0,4.0,1888.0,60.0,0.0,1,94.0,688.0,,test,21,88
0.0,1186.0,1734,1253.0,2280,15.0,3.0,16.0,86.0,21.0,15.0,70.0,80.0,2.0,6.0,55.0,23.0,31.0,25.0,35.0,20.0,65.0,10.0,25.0,7.0,4.0,2110.0,60.0,0.0,1,33.0,226.0,,test,22,80
10.0,646.0,44,1909.0,4001,59.0,4.0,44.0,28.0,13.0,20.0,53.0,70.0,44.0,7.0,31.0,37.0,33.0,28.0,46.0,16.0,43.0,19.0,21.0,45.0,4.0,3114.0,96.0,3.0,2,61.0,75.0,,test,40,01
12.0,408.0,964,1656.0,4013,13.0,3.0,25.0,82.0,17.0,15.0,54.0,80.0,4.0,7.0,69.0,19.0,24.0,19.0,33.0,17.0,62.0,8.0,19.0,0.0,3.0,1491.0,52.0,7.0,2,55.0,422.0,,test,40,13
12.0,297.0,1397,4349.0,4023,16.0,3.0,35.0,79.0,19.0,19.0,44.0,81.0,11.0,8.0,55.0,21.0,22.0,18.0,32.0,20.0,43.0,17.0,24.0,5.0,3.0,2966.0,37.0,2.0,2,59.0,167.0,,test,40,23
11.0,306.0,166,1967.0,5009,24.0,4.0,27.0,82.0,6.0,17.0,53.0,82.0,11.0,6.0,56.0,16.0,29.0,32.0,29.0,17.0,50.0,7.0,21.0,12.0,4.0,1318.0,93.0,3.0,3,55.0,317.0,,test,50,09
13.0,118.0,334,2313.0,5021,32.0,3.0,29.0,86.0,6.0,27.0,58.0,84.0,5.0,8.0,61.0,23.0,32.0,35.0,31.0,24.0,42.0,14.0,22.0,21.0,5.0,4017.0,110.0,6.0,3,65.0,126.0,,test,50,21
11.0,194.0,403,5685.0,5033,18.0,4.0,27.0,85.0,14.0,18.0,42.0,88.0,10.0,8.0,68.0,18.0,33.0,30.0,33.0,21.0,49.0,9.0,23.0,14.0,4.0,2066.0,86.0,7.0,3,60.0,249.0,,test,50,33
13.0,778.0,411,2006.0,5037,30.0,5.0,28.0,74.0,11.0,24.0,47.0,82.0,8.0,12.0,49.0,23.0,34.0,36.0,32.0,28.0,36.0,9.0,20.0,2.0,4.0,2229.0,95.0,17.0,3,64.0,499.0,,test,50,37
12.0,729.0,483,3217.0,5043,31.0,5.0,31.0,84.0,12.0,19.0,54.0,85.0,7.0,10.0,59.0,31.0,36.0,33.0,43.0,21.0,54.0,12.0,19.0,4.0,4.0,2057.0,112.0,5.0,3,48.0,429.0,,test,50,43
12.0,147.0,578,4135.0,5049,26.0,3.0,34.0,84.0,9.0,25.0,40.0,99.0,9.0,8.0,56.0,24.0,31.0,30.0,23.0,23.0,46.0,7.0,24.0,1.0,4.0,1360.0,84.0,0.0,3,51.0,245.0,,test,50,49
13.0,304.0,646,3564.0,5055,27.0,4.0,26.0,79.0,12.0,17.0,54.0,83.0,8.0,8.0,55.0,19.0,34.0,28.0,27.0,22.0,48.0,10.0,20.0,0.0,4.0,1757.0,112.0,10.0,3,66.0,272.0,,test,50,55
11.0,1106.0,702,3815.0,5057,28.0,4.0,38.0,84.0,10.0,21.0,48.0,84.0,11.0,11.0,62.0,22.0,36.0,32.0,37.0,21.0,46.0,9.0,24.0,7.0,4.0,3765.0,114.0,13.0,3,78.0,495.0,,test,50,57
13.0,533.0,777,4993.0,5067,35.0,4.0,35.0,77.0,3.0,21.0,31.0,86.0,9.0,11.0,53.0,23.0,32.0,37.0,47.0,21.0,38.0,11.0,23.0,0.0,5.0,2246.0,142.0,11.0,3,78.0,583.0,,test,50,67
11.0,337.0,793,3733.0,5071,23.0,3.0,30.0,85.0,13.0,23.0,59.0,85.0,4.0,7.0,55.0,20.0,35.0,31.0,31.0,26.0,39.0,7.0,24.0,0.0,5.0,1421.0,75.0,8.0,3,66.0,197.0,,test,50,71
12.0,211.0,1372,3518.0,5125,17.0,4.0,15.0,83.0,11.0,18.0,55.0,85.0,6.0,8.0,70.0,19.0,31.0,26.0,28.0,24.0,59.0,7.0,16.0,5.0,4.0,2503.0,60.0,8.0,3,39.0,272.0,,test,51,25
11.0,446.0,1420,1621.0,5131,16.0,4.0,31.0,80.0,12.0,19.0,52.0,78.0,5.0,8.0,66.0,20.0,30.0,34.0,32.0,22.0,53.0,8.0,24.0,20.0,4.0,2760.0,63.0,10.0,3,61.0,632.0,,test,51,31
11.0,504.0,1426,4330.0,5133,36.0,3.0,32.0,82.0,17.0,21.0,39.0,89.0,20.0,7.0,53.0,23.0,32.0,33.0,28.0,23.0,37.0,8.0,32.0,0.0,3.0,1905.0,123.0,6.0,3,79.0,259.0,,test,51,33
11.0,373.0,378,1364.0,6013,8.0,4.0,15.0,81.0,19.0,14.0,47.0,83.0,3.0,7.0,68.0,21.0,24.0,18.0,26.0,13.0,68.0,10.0,14.0,0.0,3.0,1120.0,51.0,11.0,4,24.0,424.0,,test,60,13
10.0,235.0,966,1043.0,6041,5.0,3.0,11.0,80.0,25.0,9.0,34.0,94.0,2.0,6.0,70.0,17.0,15.0,13.0,24.0,10.0,73.0,7.0,12.0,1.0,3.0,1922.0,35.0,23.0,4,14.0,213.0,,test,60,41
14.0,110.0,969,1899.0,6043,25.0,4.0,24.0,82.0,18.0,17.0,41.0,92.0,6.0,5.0,65.0,22.0,24.0,21.0,37.0,14.0,63.0,12.0,17.0,45.0,3.0,3653.0,41.0,16.0,4,22.0,236.0,,test,60,43
12.0,418.0,1378,1719.0,6071,14.0,4.0,26.0,75.0,17.0,20.0,58.0,80.0,7.0,7.0,55.0,26.0,28.0,21.0,33.0,17.0,51.0,13.0,23.0,2.0,4.0,1868.0,63.0,5.0,4,47.0,485.0,,test,60,71
10.0,301.0,1397,1547.0,6087,9.0,4.0,19.0,83.0,18.0,18.0,42.0,86.0,4.0,6.0,69.0,22.0,20.0,12.0,28.0,10.0,64.0,12.0,18.0,2.0,3.0,1047.0,41.0,16.0,4,27.0,494.0,,test,60,87
11.0,252.0,1432,1666.0,6089,15.0,4.0,25.0,83.0,20.0,15.0,51.0,88.0,7.0,6.0,62.0,15.0,28.0,20.0,36.0,23.0,62.0,15.0,18.0,1.0,4.0,1222.0,49.0,8.0,4,37.0,725.0,,test,60,89
11.0,499.0,1458,1362.0,6095,12.0,3.0,18.0,74.0,18.0,17.0,55.0,77.0,4.0,7.0,48.0,24.0,27.0,21.0,31.0,14.0,62.0,11.0,14.0,0.0,4.0,1371.0,45.0,8.0,4,31.0,517.0,,test,60,95
10.0,264.0,1461,1278.0,6097,10.0,4.0,16.0,80.0,22.0,14.0,37.0,83.0,4.0,6.0,66.0,20.0,23.0,15.0,28.0,14.0,60.0,10.0,18.0,1.0,4.0,1070.0,39.0,12.0,4,25.0,412.0,,test,60,97
11.0,324.0,1753,2187.0,6113,10.0,3.0,21.0,84.0,17.0,16.0,53.0,86.0,2.0,5.0,67.0,24.0,26.0,16.0,27.0,7.0,68.0,12.0,16.0,0.0,4.0,1922.0,33.0,7.0,4,20.0,270.0,,test,61,13
11.0,298.0,12,1082.0,8003,21.0,3.0,30.0,63.0,12.0,14.0,41.0,78.0,3.0,11.0,48.0,18.0,21.0,20.0,30.0,17.0,52.0,8.0,20.0,0.0,3.0,2044.0,53.0,19.0,5,61.0,402.0,,test,80,03
8.0,54.0,496,1797.0,8037,12.0,2.0,15.0,73.0,22.0,14.0,24.0,77.0,4.0,9.0,71.0,21.0,14.0,11.0,22.0,13.0,64.0,9.0,24.0,9.0,2.0,1370.0,27.0,17.0,5,44.0,149.0,,test,80,37
8.0,106.0,588,1500.0,8045,21.0,3.0,15.0,83.0,19.0,17.0,35.0,69.0,5.0,7.0,63.0,23.0,18.0,15.0,24.0,18.0,53.0,9.0,25.0,0.0,3.0,1403.0,43.0,9.0,5,54.0,251.0,,test,80,45
8.0,54.0,631,3753.0,8049,13.0,4.0,16.0,90.0,23.0,5.0,20.0,83.0,4.0,11.0,64.0,12.0,19.0,17.0,19.0,22.0,61.0,8.0,21.0,0.0,2.0,1344.0,30.0,14.0,5,25.0,284.0,,test,80,49
8.0,113.0,782,1283.0,8059,10.0,3.0,12.0,85.0,20.0,10.0,48.0,79.0,4.0,9.0,64.0,13.0,19.0,16.0,27.0,17.0,73.0,8.0,15.0,0.0,3.0,1197.0,38.0,11.0,5,25.0,260.0,,test,80,59
